"filename", "language", "Solidity", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/ICEther.sol", "Solidity", 14, 0, 0, 12, 3, 29
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/ICToken.sol", "Solidity", 14, 0, 0, 12, 3, 29
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/IComptroller.sol", "Solidity", 22, 0, 0, 20, 13, 55
"/Users/user/init/10k1day/202210/1021-1031/1027/1500/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/Chainlink.sol", "Solidity", 25, 0, 0, 5, 6, 36
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/CrowdFund.sol", "Solidity", 96, 0, 0, 30, 24, 150
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/DutchAuction.sol", "Solidity", 47, 0, 0, 32, 10, 89
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/IDssProxyActions.sol", "Solidity", 144, 0, 0, 64, 13, 221
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/IMedianizer.sol", "Solidity", 19, 0, 0, 16, 2, 37
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/MerkleTree.sol", "Solidity", 19, 0, 0, 14, 3, 36
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/TimeLock.sol", "Solidity", 4, 0, 0, 0, 1, 5
"/Users/user/init/10k1day/202210/1021-1031/1027/1600/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/AbiDecode.sol", "Solidity", 15, 0, 0, 10, 4, 29
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/EnglishAuction.sol", "Solidity", 63, 0, 0, 6, 16, 85
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/StakingRewards.sol", "Solidity", 105, 0, 0, 37, 7, 149
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/UniDirectionalPaymentChannel.sol", "Solidity", 44, 0, 0, 10, 14, 68
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/UpgradeableProxy.sol", "Solidity", 16, 0, 0, 2, 6, 24
"/Users/user/init/10k1day/202210/1021-1031/1027/1700/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1800/BiDirectionalPaymentChannel.sol", "Solidity", 73, 0, 0, 8, 14, 95
"/Users/user/init/10k1day/202210/1021-1031/1027/1800/HoneyPot.sol", "Solidity", 6, 0, 0, 4, 1, 11
"/Users/user/init/10k1day/202210/1021-1031/1027/1800/MultiSigWallet.sol", "Solidity", 153, 0, 0, 20, 30, 203
"/Users/user/init/10k1day/202210/1021-1031/1027/1800/Signature.sol", "Solidity", 39, 0, 0, 14, 8, 61
"/Users/user/init/10k1day/202210/1021-1031/1027/1800/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/IOneSplit.sol", "Solidity", 58, 0, 0, 5, 3, 66
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/IUniswapV2FlashSwap.sol", "Solidity", 44, 0, 0, 9, 17, 70
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/Masset.sol", "Solidity", 10, 0, 0, 9, 2, 21
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/Optimal.sol", "Solidity", 69, 0, 0, 23, 17, 109
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/StakingRewardsWithPlatformToken.sol", "Solidity", 12, 0, 0, 10, 2, 24
"/Users/user/init/10k1day/202210/1021-1031/1027/1900/sol.sol", "Solidity", 0, 0, 0, 0, 1, 1
